stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
United States,66,0.073591934801987,0.0658441742081448,0.06027860591947498,0.0,0.25469387755102035,0.926408065198013,Country
Denmark,56,0.10044642857142858,0.03125,0.16606602813799878,0.0,0.5,0.8995535714285714,Country
Canada,66,0.06690604333267376,0.06145833333333334,0.06021105747749271,0.0,0.2536231884057971,0.9330939566673262,Country
Italy,66,0.07937184343434343,0.052951388888888895,0.07811375193234536,0.0,0.2777777777777778,0.9206281565656566,Country
United Kingdom,66,0.07404674493814374,0.07250494071146246,0.06398708069011076,0.0,0.26086956521739124,0.9259532550618562,Country
Mexico,66,0.06075918592490562,0.055078125000000006,0.05641986534104603,0.0,0.25,0.9392408140750944,Country
Netherlands,66,0.07566287878787879,0.043750000000000004,0.08892993382203412,0.0,0.30000000000000004,0.9243371212121212,Country
South Africa,66,0.0738260582010582,0.06696428571428571,0.07670729601921618,0.0,0.2857142857142857,0.9261739417989419,Country
Germany,66,0.07073931960295597,0.04943181818181819,0.07287456922129674,0.0,0.27272727272727265,0.929260680397044,Country
Poland,66,0.07791756854256855,0.06666666666666667,0.07336484881852848,0.0,0.26785714285714285,0.9220824314574314,Country
China,66,0.054139969402571035,0.04921941602728047,0.053359007936585795,0.0,0.22388059701492535,0.945860030597429,Country
Pakistan,66,0.05938500549522453,0.052000988142292495,0.057472781091942794,0.0,0.23715415019762845,0.9406149945047755,Country
Kenya,66,0.061182578295724155,0.052732771922912765,0.06123701295719126,0.0,0.2502708559046588,0.9388174217042758,Country
Chile,66,0.06509598982186703,0.06062913875413875,0.06285741737430411,0.0,0.2552552552552554,0.934904010178133,Country
India,66,0.05919342662314802,0.05887934913797588,0.05484649374225846,0.0,0.24467128916281464,0.940806573376852,Country
Hungary,66,0.08246527777777778,0.057291666666666664,0.09570502625719747,0.0,0.33333333333333337,0.9175347222222222,Country
Bangladesh,66,0.06676581038560206,0.06640625,0.06339838665921925,0.0,0.25,0.933234189614398,Country
Brazil,66,0.06530956857106283,0.0690373563218391,0.05951731471319222,0.0,0.25747126436781614,0.9346904314289372,Country
TÃ¼rkiye,66,0.06567669085030195,0.03819444444444445,0.07448794903855577,0.0,0.2777777777777778,0.9343233091496981,Country
Portugal,62,0.08870967741935484,0.0,0.15616868331481518,0.0,0.5,0.9112903225806451,Country
Singapore,66,0.05807855339105339,0.03515625,0.06822796070508114,0.0,0.2857142857142857,0.9419214466089466,Country
Morocco,66,0.07325228783562115,0.07692307692307694,0.059309805920403615,0.0,0.25641025641025644,0.9267477121643788,Country
France,66,0.07248782012039588,0.07572115384615385,0.053816215236401094,0.0,0.20454545454545456,0.9275121798796041,Country
Spain,66,0.07973238882329792,0.07670454545454544,0.07380576700876439,0.0,0.27272727272727265,0.9202676111767021,Country
Algeria,66,0.07803030303030302,0.042708333333333334,0.0837836489972961,0.0,0.2666666666666667,0.921969696969697,Country
Russian Federation,66,0.06321022727272728,0.04600694444444444,0.06850691409517569,0.0,0.2777777777777778,0.9367897727272727,Country
Egypt,66,0.07687831598816447,0.07859848484848485,0.06304945969423384,0.0,0.20454545454545456,0.9231216840118355,Country
Japan,66,0.06908763769310021,0.06520562770562771,0.06286131128708873,0.0,0.26315789473684215,0.9309123623068998,Country
Ukraine,61,0.09989754098360656,0.03125,0.15821709235612114,0.0,0.5,0.9001024590163934,Country
Australia,66,0.07470638928972262,0.06336805555555555,0.06821220431955481,0.0,0.2777777777777778,0.9252936107102774,Country
Slovakia,66,0.057842312008978686,0.03819444444444445,0.06260204413225141,0.0,0.2777777777777778,0.9421576879910213,Country
Indonesia,66,0.06820716596758264,0.06470352564102565,0.062504504343068,0.0,0.25576923076923075,0.9317928340324173,Country
Israel,66,0.07032335161951421,0.06221349890530925,0.06178705936981612,0.0,0.2592592592592593,0.9296766483804858,Country
Austria,62,0.05493951612903226,0.0,0.1238207331696477,0.0,0.5,0.9450604838709677,Country
Malawi,66,0.07123917748917749,0.059523809523809534,0.07010575854979778,0.0,0.3,0.9287608225108225,Country
Switzerland,59,0.10752118644067797,0.03125,0.1671783357658516,0.0,0.5,0.892478813559322,Country
Vietnam,66,0.06293299153147638,0.04450757575757576,0.06724826818163211,0.0,0.23333333333333334,0.9370670084685236,Country
New Zealand,61,0.10348360655737705,0.03125,0.1657985079035946,0.0,0.5,0.8965163934426229,Country
Belgium,66,0.09027777777777779,0.020833333333333336,0.11686115943124098,0.0,0.33333333333333337,0.9097222222222222,Country
Korea South,64,0.07392586435555185,0.06015338827838828,0.06690900436560526,0.0,0.26666666666666666,0.9260741356444482,Country
Sweden,66,0.10606060606060609,0.0625,0.12178781375585439,0.0,0.33333333333333337,0.8939393939393939,Country
Finland,66,0.10574494949494952,0.08333333333333333,0.11383829211028544,0.0,0.33333333333333337,0.8942550505050505,Country
United Arab Emirates,61,0.11168032786885246,0.0,0.1824331627618793,0.0,0.5,0.8883196721311475,Country
Kazakhstan,66,0.0750655738936989,0.07434895833333333,0.0653680073323613,0.0,0.26666666666666666,0.924934426106301,Country
Saudi Arabia,66,0.06297348484848485,0.020833333333333332,0.08710834473488628,0.0,0.3333333333333333,0.9370265151515151,Country
Philippines,66,0.06875444112608715,0.05320669934640522,0.06987047528650521,0.0,0.26666666666666666,0.9312455588739128,Country
Malaysia,66,0.07509351969579242,0.062354312354312366,0.07074545680747943,0.0,0.2692307692307692,0.9249064803042075,Country
